area,Interval,Date,Transaction Amount,Industry,Segment
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-03-31,7.67,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-04-07,6.66,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-04-14,7.9,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-04-21,7.7,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-04-28,8.28,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-05-05,6.91,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-05-12,7.66,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-05-19,7.92,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-05-26,5.97,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-06-02,8.9,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-06-09,7.53,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-06-16,6.81,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-06-23,5.59,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-06-30,6.25,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-07-07,4.44,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-07-14,7.06,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-07-21,8.65,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-07-28,5.86,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-08-04,2.84,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-08-11,3.21,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-08-18,3.7,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-08-25,2.42,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-09-01,4,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-09-08,2.79,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-09-15,3.47,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-09-22,3.52,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-09-29,4.89,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-10-06,4.84,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-10-13,1.58,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-10-20,4.36,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-10-27,3.82,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-11-03,4.63,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-11-10,4.24,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-11-17,2.49,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-11-24,3.14,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-01-01,7.09,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-02-01,6.76,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-03-01,7.65,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-04-01,7.63,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-05-01,7.44,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-06-01,6.98,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-07-01,6.5,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-08-01,3.16,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-09-01,3.53,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-10-01,3.77,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",monthly,2025-11-01,3.7,Total Retail,Overall
