area,Interval,Date,Transaction Amount,Industry,Segment
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-06-09,74.05,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-06-16,74.76,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-06-23,80.77,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-06-30,68.86,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-07-07,75.07,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-07-14,81.09,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-07-21,69.16,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-07-28,89.17,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-08-04,128.51,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-08-11,78.38,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-08-18,85.55,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-08-25,82.47,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-09-01,82.22,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-09-08,91.57,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-09-15,88.71,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-09-22,80.92,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-09-29,61.43,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-10-06,69.24,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-10-13,73.73,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-10-20,76.29,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-10-27,200.44,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-11-03,233.57,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-11-10,240.27,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-11-17,265.23,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-11-24,284.41,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-01-01,72.47,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-02-01,85.13,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-03-01,91.4,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-04-01,88.34,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-05-01,78.45,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-06-01,73.85,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-07-01,72.25,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-08-01,97.79,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-09-01,83.04,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-10-01,90.17,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",monthly,2025-11-01,255.46,Total Retail,Overall
